id,cartucho_id,impresora_id,fecha,tipo_movimiento,cantidad,usuario_id,createdAt,updatedAt
"1","1","","2025-12-10 12:21:04","AJUSTE DE INVENTARIO","3","1","2025-12-10 12:21:04","2025-12-10 12:21:04"
"2","2","","2025-12-10 12:21:20","AJUSTE DE INVENTARIO","2","1","2025-12-10 12:21:20","2025-12-10 12:21:20"
"3","3","","2025-12-10 12:21:32","AJUSTE DE INVENTARIO","1","1","2025-12-10 12:21:32","2025-12-10 12:21:32"
"4","4","","2025-12-10 12:21:46","AJUSTE DE INVENTARIO","7","1","2025-12-10 12:21:46","2025-12-10 12:21:46"
"5","5","","2025-12-10 12:21:58","AJUSTE DE INVENTARIO","6","1","2025-12-10 12:21:58","2025-12-10 12:21:58"
"6","6","","2025-12-10 12:22:12","AJUSTE DE INVENTARIO","1","1","2025-12-10 12:22:12","2025-12-10 12:22:12"
"7","8","","2025-12-10 12:23:47","AJUSTE DE INVENTARIO","2","1","2025-12-10 12:23:47","2025-12-10 12:23:47"
"8","10","","2025-12-10 12:24:11","AJUSTE DE INVENTARIO","2","1","2025-12-10 12:24:11","2025-12-10 12:24:11"
"9","11","","2025-12-10 12:24:37","AJUSTE DE INVENTARIO","1","1","2025-12-10 12:24:37","2025-12-10 12:24:37"
"10","12","","2025-12-10 12:24:46","AJUSTE DE INVENTARIO","3","1","2025-12-10 12:24:46","2025-12-10 12:24:46"
"11","13","","2025-12-10 13:44:31","AJUSTE DE INVENTARIO","1","1","2025-12-10 13:44:31","2025-12-10 13:44:31"
"12","14","","2025-12-10 13:45:10","AJUSTE DE INVENTARIO","2","1","2025-12-10 13:45:10","2025-12-10 13:45:10"
"13","15","","2025-12-10 13:45:21","AJUSTE DE INVENTARIO","2","1","2025-12-10 13:45:21","2025-12-10 13:45:21"
"14","17","","2025-12-10 13:45:36","AJUSTE DE INVENTARIO","1","1","2025-12-10 13:45:36","2025-12-10 13:45:36"
"15","18","","2025-12-10 13:45:48","AJUSTE DE INVENTARIO","1","1","2025-12-10 13:45:48","2025-12-10 13:45:48"
"16","20","","2025-12-10 14:00:09","AJUSTE DE INVENTARIO","1","1","2025-12-10 14:00:09","2025-12-10 14:00:09"
